Periode;Data Inflasi
01/01/2018;3,25%
01/02/2018;3,18%
01/03/2018;3,40%
01/04/2018;3,41%
01/05/2018;3,23%
01/06/2018;3,12%
01/07/2018;3,18%
01/08/2018;3,20%
01/09/2018;2,88%
01/10/2018;3,16%
01/11/2018;3,23%
01/12/2018;3,13%
01/01/2019;2,82%
01/02/2019;2,57%
01/03/2019;2,48%
01/04/2019;2,83%
01/05/2019;3,32%
01/06/2019;3,28%
01/07/2019;3,32%
01/08/2019;3,49%
01/09/2019;3,39%
01/10/2019;3,13%
01/11/2019;3,00%
01/12/2019;2,72%
01/01/2020;2,68%
01/02/2020;2,98%
01/03/2020;2,96%
01/04/2020;2,67%
01/05/2020;2,19%
01/06/2020;1,96%
01/07/2020;1,54%
01/08/2020;1,32%
01/09/2020;1,42%
01/10/2020;1,44%
01/11/2020;1,59%
01/12/2020;1,68%
01/01/2021;1,55%
01/02/2021;1,38%
01/03/2021;1,37%
01/04/2021;1,42%
01/05/2021;1,68%
01/06/2021;1,33%
01/07/2021;1,52%
01/08/2021;1,59%
01/09/2021;1,60%
01/10/2021;1,66%
01/11/2021;1,75%
01/12/2021;1,87%
01/01/2022;2,18%
01/02/2022;2,06%
01/03/2022;2,64%
01/04/2022;3,47%
01/05/2022;3,55%
01/06/2022;4,35%
01/07/2022;4,94%
01/08/2022;4,69%
01/09/2022;5,95%
01/10/2022;5,71%
01/11/2022;5,42%
01/12/2022;5,51%
01/01/2023;5,28%
01/02/2023;5,47%
01/03/2023;4,97%
01/04/2023;4,33%
01/05/2023;4,00%
01/06/2023;3,52%
01/07/2023;3,08%
01/08/2023;3,27%
01/09/2023;2,28%
01/10/2023;2,56%
01/11/2023;2,86%
01/12/2023;2,61%
01/01/2024;2,57%
01/02/2024;2,75%
01/03/2024;3,05%
01/04/2024;3,00%
