Tanggal;Kurs
01/01/2018;13413
01/02/2018;13707
01/03/2018;13756
01/04/2018;13877
01/05/2018;13951
01/06/2018;14404
01/07/2018;14413
01/08/2018;14711
01/09/2018;14929
01/10/2018;15227
01/11/2018;14339
01/12/2018;14481
01/01/2019;14072
01/02/2019;14062
01/03/2019;14244
01/04/2019;14215
01/05/2019;14385
01/06/2019;14141
01/07/2019;14026
01/08/2019;14237
01/09/2019;14174
01/10/2019;14008
01/11/2019;14102
01/12/2019;13901
01/01/2020;13662
01/02/2020;14234
01/03/2020;16367
01/04/2020;15157
01/05/2020;14733
01/06/2020;14302
01/07/2020;14653
01/08/2020;14554
01/09/2020;14918
01/10/2020;14690
01/11/2020;14128
01/12/2020;14105
01/01/2021;14084
01/02/2021;14229
01/03/2021;14572
01/04/2021;14453
01/05/2021;14292
01/06/2021;14542
01/07/2021;14462
01/08/2021;14306
01/09/2021;14321
01/10/2021;14171
01/11/2021;14320
01/12/2021;14278
01/01/2022;14392
01/02/2022;14369
01/03/2022;14357
01/04/2022;14480
01/05/2022;14592
01/06/2022;14882
01/07/2022;14860
01/08/2022;14853
01/09/2022;15232
01/10/2022;15596
01/11/2022;15742
01/12/2022;15592
01/01/2023;14992
01/02/2023;15240
01/03/2023;14977
01/04/2023;14661
01/05/2023;15003
01/06/2023;15000
01/07/2023;15092
01/08/2023;15237
01/09/2023;15487
01/10/2023;15897
01/11/2023;15484
01/12/2023;15439
01/01/2024;15803
01/02/2024;15715
01/03/2024;15873
01/04/2024;16276
